conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,deadline_time,track_original,track_category,deadline_type
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Tool Demo Track,Author registration deadline,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-tool-demo-track,2026-09-04T17:08:46.964716+00:00,,Tool Demo Track,"Tools, Demos & Data",registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Tool Demo Track,Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-tool-demo-track,2026-09-04T17:08:46.964716+00:00,,Tool Demo Track,"Tools, Demos & Data",camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Workshop Call for Proposals Submission,2026-07-27,,"July 27th, 2026",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,other_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Workshop Proposal Notification,2026-08-03,,"August 3, 2026",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,notification
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Abstract submission,2026-10-19,,"October 19, 2026",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Abstract submission (mandatory),2026-10-19,,Mon 19 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Paper submission,2026-10-23,,"October 23, 2026",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Paper submission deadline,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Notification,2026-12-08,,"December 8, 2026",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,notification
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Notifications,2026-12-08,,Tue 8 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,other
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Author registration and camera-ready submission,2027-01-08,,"January 8, 2027",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Author registration deadline,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Tutorial Submission,2027-01-22,,"January 22nd, 2027",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,other_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),Tutorial Notification,2027-01-29,,"January 29th, 2027",AoE (UTC-12:00),medium,True,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,notification
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Workshops & Tutorials (W&T),"Richmond, Virginia, United States",2027-03-09,2027-03-12,Tue 9 - Fri 12 March 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-workshops-tutorials-track,2026-09-04T17:08:46.964716+00:00,,Workshops & Tutorials (W&T),Workshops & Tutorials,other
